"번호","인제스트 완료시각","촬영/수신일","분류","미디어ID","제목","취재기자","촬영기자","내용","영상길이","메모","등록위치","엠바고","엠바고사유","ING","TRC","CAT","영상구분","리스토어요청자","영상편집","자료정리상태","방송일","외신기사 번역문","외신채널","라이브러리","라이브러리등록요청","KDAS전송","프리뷰노트","속보","사용제한","화질","언어","외신기사ID","소제목","보존만료일","키워드","폴더","바코드ID","사용제한사유","사용제한해제일","인제스트전송(HR) 시작시각","인제스트전송(HR) 종료시각","인제스트전송(LR) 시작시각","수신일시","인제스트전송(LR) 종료시각","라이브러리등록요청자","부조 메인","부조 백업","트랜스코딩시작시각","트랜스코딩종료시각","카탈로깅시작시각","카탈로깅종료시각","부조메인 전송시작시각","부조메인 전송종료시각","부조백업 전송시작시각","부조백업 전송종료시각","KDAS전송시작시간","KDAS전송종료시간","인제스트전송(HR)","인제스트전송(LR)","사용제한설정시각","사용제한설정자","엠바고설정시각","엠바고해제시각","국가명","프로그램명","촬영장소","엠바고설정자","원본영상ID","비디오ID","타이틀이미지파일아이디","비디오FPS","디스크백업시각","외신기사 원문","KDAS등록","자료여부","사용제한사유","사용제한설정시각","사용제한설정자","STT상태",
"  1","2022-08-22 13:31:21","2022-08-22","해외지국","20220822V45599","LA_19시_이영현_K팝 보기위해 사흘간 9만명 다녀가_수신본","","","","00:34:08:01","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-09-05","","월요일","0","없음","2022-08-22 12:54:52","","","","2022-08-22 12:54:52","","","대기","대기","2022-08-22 13:29:49","2022-08-22 13:31:23","2022-08-22 13:31:30","2022-08-22 13:31:30","","","","","","","대기","대기","","","","","None","","","","15831957","15831958","mamex\mamex","29.97","2022-08-22 12:54:52","","아니오","아니오","","","","대기",
"  2","2022-08-20 08:47:12","2022-08-20","해외지국","20220820V43529","LA_21시_이영현_미 전기차 수요 급증에 전기차 개조 인기_수신본","","","","00:40:55:04","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-09-03","","토요일","0","없음","2022-08-20 08:03:56","","","","2022-08-20 08:03:56","","","대기","대기","2022-08-20 08:45:38","2022-08-20 08:47:13","2022-08-20 08:47:18","2022-08-20 08:47:18","","","","","","","대기","대기","","","","","None","","","","15827534","15827535","mamex\mamex","29.97","2022-08-20 08:03:56","","아니오","아니오","","","","대기",
"  3","2022-08-20 04:14:17","2022-08-20","해외지국","20220820V43402","워싱턴_김양순_한국 의복-궁중에서 런웨이까지_수신본","김양순","오범석","-미국 조지워싱턴대학교 텍스타일박물관 -한국의복 전시 스케치 -과거 의복 스케치 -근현대 한복 스케치 -리 탈봇 박물관 큐레이터 인터뷰 -캐서린 자넷 전시물품보존 전문가 인터뷰 -김양순 취재기자 온마이크","00:24:39:20","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-09-03","","토요일","0","없음","2022-08-20 03:47:22","","","","2022-08-20 03:47:22","","","대기","대기","2022-08-20 04:13:12","2022-08-20 04:14:18","2022-08-20 04:14:23","2022-08-20 04:14:23","","","","","","","대기","대기","","","","","None","","","","15827271","15827272","mamex\mamex","29.97","2022-08-20 03:47:22","","아니오","아니오","","","","대기",
"  4","2022-08-19 18:27:05","2022-01-26","KDAS","20220819V42646","국회의사당 내 카페 헤리티지815 스케치_수신본","","SBS","-SBS 취재본 -국회의사당 내 -국회 카페 헤리티지815 카페 스케치 -유수환 SBS 취재기자 녹취 -김원웅 광복회장 횡령 의혹 관련","00:04:01:26","","KDAS","아니오","","성공","성공","성공","원본영상-국제","이현모","","미정리","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-09-02","","KDAS","0","없음","2022-08-19 18:27:01","","","","2022-08-19 18:27:01","","","대기","대기","2022-08-19 18:27:29","2022-08-19 18:28:42","2022-08-19 18:28:56","2022-08-19 18:28:57","","","","","","","대기","대기","","","","","None","","","","15825461","15825462","mamex\mamex","29.97","2022-08-19 18:27:01","","예","아니오","","","","대기",
"  5","2022-08-19 18:37:51","2022-08-19","해외지국","20220819V42587","베이징_외교부 대변인 정례브리핑 0819_수신본","","","왕원빈","00:31:10:09","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-09-02","","금요일","0","없음","2022-08-19 18:04:17","","","","2022-08-19 18:04:17","","","대기","대기","2022-08-19 18:36:41","2022-08-19 18:37:54","2022-08-19 18:37:55","2022-08-19 18:37:55","","","","","","","대기","대기","","","","","None","","","","15825335","15825336","mamex\mamex","29.97","2022-08-19 18:04:17","","아니오","아니오","","","","대기",
"  6","2022-08-19 17:48:14","2022-08-19","해외지국","20220819V42474","베이징_조성원_중국 베이징 바이두 자율주행 및 화웨이 전기차 스케치_수신본","조성원","이창준","-중국 베이징 -중국 베이징 바이두 아폴로파크 스케치 -바이두 자율주행 전시차 및 주행 스케치 -로보택시 승강장 스케치 -자율주행 관련 기술 스케치 -화웨이 전기차 시제품 스케치","00:30:33:07","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-09-02","","금요일","0","없음","2022-08-19 17:15:19","","","","2022-08-19 17:15:19","","","대기","대기","2022-08-19 17:46:42","2022-08-19 17:48:16","2022-08-19 17:48:25","2022-08-19 17:48:25","","","","","","","대기","대기","","","","","None","","","","15825104","15825105","mamex\mamex","29.97","2022-08-19 17:15:19","","아니오","아니오","","","","대기",
"  7","2022-08-19 17:00:57","2022-08-19","해외지국","20220819V42428","베이징_조성원_중국 베이징 왕푸징 현대자동차 매장 오픈_수신본","조성원","이창준","-중국 베이징 왕푸징 -중국 베이징 왕푸징 동방신천지 현대자동차 매장 외경 스케치(휴대폰) -넥쏘/i30 N/팰리세이드 차량 스케치","00:08:01:00","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-09-02","","금요일","0","없음","2022-08-19 16:50:37","","","","2022-08-19 16:50:37","","","대기","대기","2022-08-19 16:59:48","2022-08-19 17:01:00","2022-08-19 17:01:04","2022-08-19 17:01:04","","","","","","","대기","대기","","","","","None","","","","15825002","15825003","mamex\mamex","29.97","2022-08-19 16:50:37","","아니오","아니오","","","","대기",
"  8","2022-08-18 18:57:58","2022-08-18","해외지국","20220818V40446","베이징_외교부 대변인 정례브리핑 0818_수신본","","","왕원빈","00:20:16:10","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-09-01","","목요일","0","없음","2022-08-18 18:35:42","","","","2022-08-18 18:35:42","","","대기","대기","2022-08-18 18:56:47","2022-08-18 18:58:01","2022-08-18 18:58:01","2022-08-18 18:58:01","","","","","","","대기","대기","","","","","None","","","","15820764","15820765","mamex\mamex","29.97","2022-08-18 18:35:42","","아니오","아니오","","","","대기",
"  9","2022-08-18 17:57:27","2022-08-18","해외지국","20220818V39901","베이징_이랑_디지털 영상용 밑그림_수신본","","","","00:08:11:12","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-09-01","","목요일","0","없음","2022-08-18 15:54:07","","","","2022-08-18 15:54:07","","","대기","대기","2022-08-18 16:03:06","2022-08-18 17:57:30","2022-08-18 17:57:30","2022-08-18 17:57:30","","","","","","","대기","대기","","","","","None","","","","15819582","15819583","","29.97","2022-08-18 15:54:07","","아니오","아니오","","","","대기",
" 10","2022-08-18 17:57:24","2022-08-18","해외지국","20220818V39896","베이징_이랑_디지털 영상용 칭하이시민 녹취_수신본","","","","00:00:33:12","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-09-01","","목요일","0","없음","2022-08-18 15:52:53","","","","2022-08-18 15:52:53","","","대기","대기","2022-08-18 15:55:13","2022-08-18 17:57:27","2022-08-18 17:57:27","2022-08-18 17:57:27","","","","","","","대기","대기","","","","","None","","","","15819570","15819571","","29.97","2022-08-18 15:52:53","","아니오","아니오","","","","대기",
