"번호","인제스트 완료시각","촬영/수신일","분류","미디어ID","제목","취재기자","촬영기자","내용","영상길이","메모","등록위치","엠바고","엠바고사유","ING","TRC","CAT","영상구분","리스토어요청자","영상편집","자료정리상태","방송일","외신기사 번역문","외신채널","라이브러리","라이브러리등록요청","KDAS전송","프리뷰노트","속보","사용제한","화질","언어","외신기사ID","소제목","보존만료일","키워드","폴더","바코드ID","사용제한사유","사용제한해제일","인제스트전송(HR) 시작시각","인제스트전송(HR) 종료시각","인제스트전송(LR) 시작시각","수신일시","인제스트전송(LR) 종료시각","라이브러리등록요청자","부조 메인","부조 백업","트랜스코딩시작시각","트랜스코딩종료시각","카탈로깅시작시각","카탈로깅종료시각","부조메인 전송시작시각","부조메인 전송종료시각","부조백업 전송시작시각","부조백업 전송종료시각","KDAS전송시작시간","KDAS전송종료시간","인제스트전송(HR)","인제스트전송(LR)","사용제한설정시각","사용제한설정자","엠바고설정시각","엠바고해제시각","국가명","프로그램명","촬영장소","엠바고설정자","원본영상ID","비디오ID","타이틀이미지파일아이디","비디오FPS","디스크백업시각","외신기사 원문","KDAS등록","자료여부","사용제한사유","사용제한설정시각","사용제한설정자","STT상태",
"  1","2022-08-20 19:27:27","2022-08-20","해외지국","20220820V43883","선양_오세균_북중 재봉쇠 후 첫 교류_웹하드_원본영상","","","반제품","00:01:44;10","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-09-03","","토요일","0","없음","2022-08-20 19:26:05","","","","2022-08-20 19:26:05","","","대기","대기","2022-08-20 19:27:15","2022-08-20 19:27:30","2022-08-20 19:27:31","2022-08-20 19:27:31","","","","","","","대기","대기","","","","","None","","","","15828294","15828295","mamex\mamex","29.97","2022-08-20 19:26:05","","아니오","아니오","","","","대기",
"  2","2022-08-20 18:18:40","2022-08-20","해외지국","20220820V43829","선양_오세균_신의주 스케치 02_웹하드_원본영상","","","","00:10:10;04","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-09-03","","토요일","0","없음","2022-08-20 18:12:02","","","","2022-08-20 18:12:02","","","대기","대기","2022-08-20 18:18:23","2022-08-20 18:18:43","2022-08-20 18:18:45","2022-08-20 18:18:45","","","","","","","대기","대기","","","","","None","","","","15828170","15828171","mamex\mamex","29.97","2022-08-20 18:12:02","","아니오","아니오","","","","대기",
"  3","2022-08-20 18:24:30","2022-08-20","해외지국","20220820V43827","선양_오세균_신의주 스케치 01_웹하드_원본영상","","","","00:17:11;15","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-09-03","","토요일","0","없음","2022-08-20 18:11:30","","","","2022-08-20 18:11:30","","","대기","대기","2022-08-20 18:24:13","2022-08-20 18:24:33","2022-08-20 18:24:36","2022-08-20 18:24:36","","","","","","","대기","대기","","","","","None","","","","15828168","15828169","mamex\mamex","29.97","2022-08-20 18:11:30","","아니오","아니오","","","","대기",
"  4","2022-08-20 18:14:35","2022-08-20","해외지국","20220820V43826","선양_오세균_단둥단교_웹하드_원본영상","","","","00:04:17;18","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-09-03","","토요일","0","없음","2022-08-20 18:10:52","","","","2022-08-20 18:10:52","","","대기","대기","2022-08-20 18:14:27","2022-08-20 18:14:38","2022-08-20 18:14:40","2022-08-20 18:14:40","","","","","","","대기","대기","","","","","None","","","","15828164","15828165","mamex\mamex","29.97","2022-08-20 18:10:52","","아니오","아니오","","","","대기",
"  5","2022-08-20 05:49:10","2022-08-20","해외지국","20220820V43469","뉴욕_한보경_마크 잔디 화상 인터뷰_ZOOM_웹하드_원본영상"," ","","-마크 잔디(Mark Zandi) 화상 인터뷰 -줌(ZOOM) 녹화본
무디스 애널리스틱스 수석 이코노미스트","00:00:29;10","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-09-03","","토요일","0","없음","2022-08-20 05:48:34","","","","2022-08-20 05:48:34","","","대기","대기","2022-08-20 05:48:59","2022-08-20 05:49:11","2022-08-20 05:49:11","2022-08-20 05:49:11","","","","","","","대기","대기","","","","","None","","","","15827413","15827414","mamex\mamex","29.97","2022-08-20 05:48:34","","아니오","아니오","","","","대기",
"  6","2022-08-19 16:58:28","2022-08-19","해외지국","20220819V42442","방콕_특파원보고_김원장_태국 주차장 호랑이 케이지 열어보는 영상_웹하드_원본영상","","","","00:01:21;27","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","특파원 보고용","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-09-02","","금요일","0","없음","2022-08-19 16:57:03","","","","2022-08-19 16:57:03","","","대기","대기","2022-08-19 16:58:26","2022-08-19 16:58:30","2022-08-19 16:58:31","2022-08-19 16:58:31","","","","","","","대기","대기","","","","","None","","","","15825033","15825034","mamex\mamex","29.97","2022-08-19 16:57:03","","아니오","아니오","","","","대기",
"  7","2022-08-19 15:54:02","2022-08-19","해외지국","20220819V42310","시각장애인 점자단말기 취재_원본영상","","유성주","-점자단말기 스케치","00:02:51;28","","FILE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-26","","국제","0","없음","2022-08-19 15:51:41","","","","2022-08-19 15:51:41","","","대기","대기","2022-08-19 15:53:47","2022-08-19 15:54:04","2022-08-19 15:54:05","2022-08-19 15:54:05","","","","","","","대기","대기","","","","","None","","","","15824751","15824752","mamex\mamex","29.97","2022-08-19 15:51:41","","아니오","아니오","","","","대기",
"  8","2022-08-18 14:01:12","2022-08-18","해외지국","20220818V39602","방콕_특파원보고_김원장_태국 동물 밀매 인터뷰 및 녹취_웹하드_원본영상","","","특파원 보고용","00:02:06;12","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-09-01","","목요일","0","없음","2022-08-18 13:59:10","","","","2022-08-18 13:59:10","","","대기","대기","2022-08-18 14:00:55","2022-08-18 14:01:13","2022-08-18 14:01:15","2022-08-18 14:01:15","","","","","","","대기","대기","","","","","None","","","","15818924","15818925","mamex\mamex","29.97","2022-08-18 13:59:10","","아니오","아니오","","","","대기",
"  9","2022-08-17 19:56:59","2022-08-17","해외지국","20220817V38365","두바이_우수경_모래바람_웹하드_원본영상","","","","00:01:35;19","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","이현모","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-31","","수요일","0","없음","2022-08-17 19:55:26","","","","2022-08-17 19:55:26","","","대기","대기","2022-08-17 19:56:47","2022-08-17 19:57:02","2022-08-17 19:57:03","2022-08-17 19:57:03","","","","","2022-08-18 08:52:24","2022-08-18 08:52:30","대기","대기","","","","","None","","","","15816260","15816261","mamex\mamex","29.97","2022-08-17 19:55:26","","예","아니오","","","","대기",
" 10","2022-08-17 16:07:08","2022-08-17","해외지국","20220817V37745","방콕_특파원보고_김원장_태국 아기호랑이 보호소 동물원 스케치 및 자료영상_웹하드_원본영상","","","","00:35:05;13","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-31","","수요일","0","없음","2022-08-17 15:40:23","","","","2022-08-17 15:40:23","","","대기","대기","2022-08-17 16:06:39","2022-08-17 16:07:11","2022-08-17 16:07:19","2022-08-17 16:07:19","","","","","","","대기","대기","","","","","None","","","","15814922","15814923","mamex\mamex","29.97","2022-08-17 15:40:23","","아니오","아니오","","","","대기",
